Series Name,Year,Country Name,Country Code,GDP_pc
"GDP per capita, PPP (current international $)",2020,Afghanistan,AFG,2561.981761
"GDP per capita, PPP (current international $)",2020,Albania,ALB,14511.43892
"GDP per capita, PPP (current international $)",2020,Algeria,DZA,12676.51306
"GDP per capita, PPP (current international $)",2020,American Samoa,ASM,..
"GDP per capita, PPP (current international $)",2020,Andorra,AND,52095.8414
"GDP per capita, PPP (current international $)",2020,Angola,AGO,6450.749946
"GDP per capita, PPP (current international $)",2020,Antigua and Barbuda,ATG,22356.76872
"GDP per capita, PPP (current international $)",2020,Argentina,ARG,22393.34796
"GDP per capita, PPP (current international $)",2020,Armenia,ARM,14706.3173
"GDP per capita, PPP (current international $)",2020,Aruba,ABW,28976.46355
"GDP per capita, PPP (current international $)",2020,Australia,AUS,53984.1247
"GDP per capita, PPP (current international $)",2020,Austria,AUT,58523.03378
"GDP per capita, PPP (current international $)",2020,Azerbaijan,AZE,15163.57033
"GDP per capita, PPP (current international $)",2020,"Bahamas, The",BHS,26141.453
"GDP per capita, PPP (current international $)",2020,Bahrain,BHR,53436.0317
"GDP per capita, PPP (current international $)",2020,Bangladesh,BGD,6640.584373
"GDP per capita, PPP (current international $)",2020,Barbados,BRB,15824.49107
"GDP per capita, PPP (current international $)",2020,Belarus,BLR,24872.3399
"GDP per capita, PPP (current international $)",2020,Belgium,BEL,56120.09584
"GDP per capita, PPP (current international $)",2020,Belize,BLZ,9618.016435
"GDP per capita, PPP (current international $)",2020,Benin,BEN,3244.587728
"GDP per capita, PPP (current international $)",2020,Bermuda,BMU,85143.71792
"GDP per capita, PPP (current international $)",2020,Bhutan,BTN,12475.048
"GDP per capita, PPP (current international $)",2020,Bolivia,BOL,8293.991212
"GDP per capita, PPP (current international $)",2020,Bosnia and Herzegovina,BIH,16369.24869
"GDP per capita, PPP (current international $)",2020,Botswana,BWA,15292.30284
"GDP per capita, PPP (current international $)",2020,Brazil,BRA,16101.61831
"GDP per capita, PPP (current international $)",2020,British Virgin Islands,VGB,..
"GDP per capita, PPP (current international $)",2020,Brunei Darussalam,BRN,69787.96334
"GDP per capita, PPP (current international $)",2020,Bulgaria,BGR,25862.2931
"GDP per capita, PPP (current international $)",2020,Burkina Faso,BFA,2380.722828
"GDP per capita, PPP (current international $)",2020,Burundi,BDI,786.5158307
"GDP per capita, PPP (current international $)",2020,Cabo Verde,CPV,6852.576699
"GDP per capita, PPP (current international $)",2020,Cambodia,KHM,5942.453804
"GDP per capita, PPP (current international $)",2020,Cameroon,CMR,4365.447041
"GDP per capita, PPP (current international $)",2020,Canada,CAN,48590.68321
"GDP per capita, PPP (current international $)",2020,Cayman Islands,CYM,66118.65452
"GDP per capita, PPP (current international $)",2020,Central African Republic,CAF,1066.290054
"GDP per capita, PPP (current international $)",2020,Chad,TCD,1568.600585
"GDP per capita, PPP (current international $)",2020,Channel Islands,CHI,..
"GDP per capita, PPP (current international $)",2020,Chile,CHL,25350.86351
"GDP per capita, PPP (current international $)",2020,China,CHN,17891.48029
"GDP per capita, PPP (current international $)",2020,Colombia,COL,15519.21017
"GDP per capita, PPP (current international $)",2020,Comoros,COM,3261.594968
"GDP per capita, PPP (current international $)",2020,"Congo, Dem. Rep.",COD,1136.008396
"GDP per capita, PPP (current international $)",2020,"Congo, Rep.",COG,4770.964498
"GDP per capita, PPP (current international $)",2020,Costa Rica,CRI,22099.86781
"GDP per capita, PPP (current international $)",2020,Cote d'Ivoire,CIV,5543.850963
"GDP per capita, PPP (current international $)",2020,Croatia,HRV,31594.70088
"GDP per capita, PPP (current international $)",2020,Cuba,CUB,..
"GDP per capita, PPP (current international $)",2020,Curacao,CUW,21797.01905
"GDP per capita, PPP (current international $)",2020,Cyprus,CYP,43352.28125
"GDP per capita, PPP (current international $)",2020,Czechia,CZE,44839.48221
"GDP per capita, PPP (current international $)",2020,Denmark,DNK,62682.28995
"GDP per capita, PPP (current international $)",2020,Djibouti,DJI,5599.100761
"GDP per capita, PPP (current international $)",2020,Dominica,DMA,13577.82665
"GDP per capita, PPP (current international $)",2020,Dominican Republic,DOM,19070.38118
"GDP per capita, PPP (current international $)",2020,Ecuador,ECU,11526.80118
"GDP per capita, PPP (current international $)",2020,"Egypt, Arab Rep.",EGY,15231.86542
"GDP per capita, PPP (current international $)",2020,El Salvador,SLV,9392.689138
"GDP per capita, PPP (current international $)",2020,Equatorial Guinea,GNQ,13677.11059
"GDP per capita, PPP (current international $)",2020,Eritrea,ERI,..
"GDP per capita, PPP (current international $)",2020,Estonia,EST,40672.13404
"GDP per capita, PPP (current international $)",2020,Eswatini,SWZ,9264.048585
"GDP per capita, PPP (current international $)",2020,Ethiopia,ETH,2406.789429
"GDP per capita, PPP (current international $)",2020,Faroe Islands,FRO,61643.81493
"GDP per capita, PPP (current international $)",2020,Fiji,FJI,11235.27608
"GDP per capita, PPP (current international $)",2020,Finland,FIN,53296.57928
"GDP per capita, PPP (current international $)",2020,France,FRA,49481.80443
"GDP per capita, PPP (current international $)",2020,French Polynesia,PYF,..
"GDP per capita, PPP (current international $)",2020,Gabon,GAB,14477.13083
"GDP per capita, PPP (current international $)",2020,"Gambia, The",GMB,2530.804149
"GDP per capita, PPP (current international $)",2020,Georgia,GEO,16791.25987
"GDP per capita, PPP (current international $)",2020,Germany,DEU,58685.8727
"GDP per capita, PPP (current international $)",2020,Ghana,GHA,6047.301117
"GDP per capita, PPP (current international $)",2020,Gibraltar,GIB,..
"GDP per capita, PPP (current international $)",2020,Greece,GRC,29533.08774
"GDP per capita, PPP (current international $)",2020,Greenland,GRL,64857.62871
"GDP per capita, PPP (current international $)",2020,Grenada,GRD,14361.12672
"GDP per capita, PPP (current international $)",2020,Guam,GUM,..
"GDP per capita, PPP (current international $)",2020,Guatemala,GTM,10947.37056
"GDP per capita, PPP (current international $)",2020,Guinea,GIN,3331.85663
"GDP per capita, PPP (current international $)",2020,Guinea-Bissau,GNB,2259.299921
"GDP per capita, PPP (current international $)",2020,Guyana,GUY,16819.42287
"GDP per capita, PPP (current international $)",2020,Haiti,HTI,3103.180663
"GDP per capita, PPP (current international $)",2020,Honduras,HND,5384.69832
"GDP per capita, PPP (current international $)",2020,"Hong Kong SAR, China",HKG,58187.47641
"GDP per capita, PPP (current international $)",2020,Hungary,HUN,35029.91322
"GDP per capita, PPP (current international $)",2020,Iceland,ISL,55796.74547
"GDP per capita, PPP (current international $)",2020,India,IND,6966.275428
"GDP per capita, PPP (current international $)",2020,Indonesia,IDN,11729.36745
"GDP per capita, PPP (current international $)",2020,"Iran, Islamic Rep.",IRN,14110.31914
"GDP per capita, PPP (current international $)",2020,Iraq,IRQ,10573.93048
"GDP per capita, PPP (current international $)",2020,Ireland,IRL,98866.41914
"GDP per capita, PPP (current international $)",2020,Isle of Man,IMN,..
"GDP per capita, PPP (current international $)",2020,Israel,ISR,41051.02253
"GDP per capita, PPP (current international $)",2020,Italy,ITA,44435.64344
"GDP per capita, PPP (current international $)",2020,Jamaica,JAM,8991.162056
"GDP per capita, PPP (current international $)",2020,Japan,JPN,42438.44646
"GDP per capita, PPP (current international $)",2020,Jordan,JOR,9579.200813
"GDP per capita, PPP (current international $)",2020,Kazakhstan,KAZ,29039.82296
"GDP per capita, PPP (current international $)",2020,Kenya,KEN,4792.573158
"GDP per capita, PPP (current international $)",2020,Kiribati,KIR,2735.833207
"GDP per capita, PPP (current international $)",2020,"Korea, Dem. People's Rep.",PRK,..
"GDP per capita, PPP (current international $)",2020,"Korea, Rep.",KOR,45142.76345
"GDP per capita, PPP (current international $)",2020,Kosovo,XKX,10532.49959
"GDP per capita, PPP (current international $)",2020,Kuwait,KWT,41461.72351
"GDP per capita, PPP (current international $)",2020,Kyrgyz Republic,KGZ,5178.562352
"GDP per capita, PPP (current international $)",2020,Lao PDR,LAO,7913.386607
"GDP per capita, PPP (current international $)",2020,Latvia,LVA,32741.42077
"GDP per capita, PPP (current international $)",2020,Lebanon,LBN,16259.70513
"GDP per capita, PPP (current international $)",2020,Lesotho,LSO,2559.097768
"GDP per capita, PPP (current international $)",2020,Liberia,LBR,1659.521091
"GDP per capita, PPP (current international $)",2020,Libya,LBY,10954.79905
"GDP per capita, PPP (current international $)",2020,Liechtenstein,LIE,..
"GDP per capita, PPP (current international $)",2020,Lithuania,LTU,41491.32818
"GDP per capita, PPP (current international $)",2020,Luxembourg,LUX,122114.1016
"GDP per capita, PPP (current international $)",2020,"Macao SAR, China",MAC,57220.81706
"GDP per capita, PPP (current international $)",2020,Madagascar,MDG,1490.323128
"GDP per capita, PPP (current international $)",2020,Malawi,MWI,1513.459908
"GDP per capita, PPP (current international $)",2020,Malaysia,MYS,27474.73614
"GDP per capita, PPP (current international $)",2020,Maldives,MDV,13425.36745
"GDP per capita, PPP (current international $)",2020,Mali,MLI,2298.251891
"GDP per capita, PPP (current international $)",2020,Malta,MLT,49928.09331
"GDP per capita, PPP (current international $)",2020,Marshall Islands,MHL,6136.971197
"GDP per capita, PPP (current international $)",2020,Mauritania,MRT,5740.739597
"GDP per capita, PPP (current international $)",2020,Mauritius,MUS,21326.2244
"GDP per capita, PPP (current international $)",2020,Mexico,MEX,19354.12487
"GDP per capita, PPP (current international $)",2020,"Micronesia, Fed. Sts.",FSM,3671.613624
"GDP per capita, PPP (current international $)",2020,Moldova,MDA,13527.44131
"GDP per capita, PPP (current international $)",2020,Monaco,MCO,..
"GDP per capita, PPP (current international $)",2020,Mongolia,MNG,13693.17981
"GDP per capita, PPP (current international $)",2020,Montenegro,MNE,21003.78196
"GDP per capita, PPP (current international $)",2020,Morocco,MAR,7704.849121
"GDP per capita, PPP (current international $)",2020,Mozambique,MOZ,1411.620402
"GDP per capita, PPP (current international $)",2020,Myanmar,MMR,5740.990458
"GDP per capita, PPP (current international $)",2020,Namibia,NAM,9354.131367
"GDP per capita, PPP (current international $)",2020,Nauru,NRU,10941.66367
"GDP per capita, PPP (current international $)",2020,Nepal,NPL,4235.574623
"GDP per capita, PPP (current international $)",2020,Netherlands,NLD,62596.6302
"GDP per capita, PPP (current international $)",2020,New Caledonia,NCL,..
"GDP per capita, PPP (current international $)",2020,New Zealand,NZL,45283.46805
"GDP per capita, PPP (current international $)",2020,Nicaragua,NIC,6251.982084
"GDP per capita, PPP (current international $)",2020,Niger,NER,1496.8335
"GDP per capita, PPP (current international $)",2020,Nigeria,NGA,5353.705549
"GDP per capita, PPP (current international $)",2020,North Macedonia,MKD,19961.38987
"GDP per capita, PPP (current international $)",2020,Northern Mariana Islands,MNP,..
"GDP per capita, PPP (current international $)",2020,Norway,NOR,67110.60457
"GDP per capita, PPP (current international $)",2020,Oman,OMN,35163.32818
"GDP per capita, PPP (current international $)",2020,Pakistan,PAK,5048.021306
"GDP per capita, PPP (current international $)",2020,Palau,PLW,17367.2697
"GDP per capita, PPP (current international $)",2020,Panama,PAN,27017.00337
"GDP per capita, PPP (current international $)",2020,Papua New Guinea,PNG,3899.577192
"GDP per capita, PPP (current international $)",2020,Paraguay,PRY,14308.87877
"GDP per capita, PPP (current international $)",2020,Peru,PER,12563.30381
"GDP per capita, PPP (current international $)",2020,Philippines,PHL,8238.36802
"GDP per capita, PPP (current international $)",2020,Poland,POL,36714.16867
"GDP per capita, PPP (current international $)",2020,Portugal,PRT,35966.7128
"GDP per capita, PPP (current international $)",2020,Puerto Rico,PRI,36858.97918
"GDP per capita, PPP (current international $)",2020,Qatar,QAT,82149.35737
"GDP per capita, PPP (current international $)",2020,Romania,ROU,34384.75043
"GDP per capita, PPP (current international $)",2020,Russian Federation,RUS,31490.80469
"GDP per capita, PPP (current international $)",2020,Rwanda,RWA,2284.898898
"GDP per capita, PPP (current international $)",2020,Samoa,WSM,6450.765384
"GDP per capita, PPP (current international $)",2020,San Marino,SMR,55206.58123
"GDP per capita, PPP (current international $)",2020,Sao Tome and Principe,STP,5144.535603
"GDP per capita, PPP (current international $)",2020,Saudi Arabia,SAU,45434.47165
"GDP per capita, PPP (current international $)",2020,Senegal,SEN,3752.919475
"GDP per capita, PPP (current international $)",2020,Serbia,SRB,21012.20004
"GDP per capita, PPP (current international $)",2020,Seychelles,SYC,31055.94421
"GDP per capita, PPP (current international $)",2020,Sierra Leone,SLE,2719.189568
"GDP per capita, PPP (current international $)",2020,Singapore,SGP,101612.0903
"GDP per capita, PPP (current international $)",2020,Sint Maarten (Dutch part),SXM,38901.48676
"GDP per capita, PPP (current international $)",2020,Slovak Republic,SVK,35327.94392
"GDP per capita, PPP (current international $)",2020,Slovenia,SVN,41767.25799
"GDP per capita, PPP (current international $)",2020,Solomon Islands,SLB,2405.302562
"GDP per capita, PPP (current international $)",2020,Somalia,SOM,1454.333481
"GDP per capita, PPP (current international $)",2020,South Africa,ZAF,12671.08624
"GDP per capita, PPP (current international $)",2020,South Sudan,SSD,..
"GDP per capita, PPP (current international $)",2020,Spain,ESP,39322.67431
"GDP per capita, PPP (current international $)",2020,Sri Lanka,LKA,12940.90451
"GDP per capita, PPP (current international $)",2020,St. Kitts and Nevis,KNA,27326.03606
"GDP per capita, PPP (current international $)",2020,St. Lucia,LCA,14912.38061
"GDP per capita, PPP (current international $)",2020,St. Martin (French part),MAF,..
"GDP per capita, PPP (current international $)",2020,St. Vincent and the Grenadines,VCT,15417.21294
"GDP per capita, PPP (current international $)",2020,Sudan,SDN,3348.578369
"GDP per capita, PPP (current international $)",2020,Suriname,SUR,16946.89424
"GDP per capita, PPP (current international $)",2020,Sweden,SWE,57489.26572
"GDP per capita, PPP (current international $)",2020,Switzerland,CHE,72997.82395
"GDP per capita, PPP (current international $)",2020,Syrian Arab Republic,SYR,3737.657518
"GDP per capita, PPP (current international $)",2020,Tajikistan,TJK,3653.959768
"GDP per capita, PPP (current international $)",2020,Tanzania,TZA,3290.609863
"GDP per capita, PPP (current international $)",2020,Thailand,THA,19163.74152
"GDP per capita, PPP (current international $)",2020,Timor-Leste,TLS,6132.082882
"GDP per capita, PPP (current international $)",2020,Togo,TGO,2356.758597
"GDP per capita, PPP (current international $)",2020,Tonga,TON,6689.859317
"GDP per capita, PPP (current international $)",2020,Trinidad and Tobago,TTO,26627.9559
"GDP per capita, PPP (current international $)",2020,Tunisia,TUN,11918.06621
"GDP per capita, PPP (current international $)",2020,Turkiye,TUR,28680.20063
"GDP per capita, PPP (current international $)",2020,Turkmenistan,TKM,15090.9395
"GDP per capita, PPP (current international $)",2020,Turks and Caicos Islands,TCA,16473.45383
"GDP per capita, PPP (current international $)",2020,Tuvalu,TUV,5122.189802
"GDP per capita, PPP (current international $)",2020,Uganda,UGA,2532.219501
"GDP per capita, PPP (current international $)",2020,Ukraine,UKR,15541.02734
"GDP per capita, PPP (current international $)",2020,United Arab Emirates,ARE,65352.83442
"GDP per capita, PPP (current international $)",2020,United Kingdom,GBR,47987.58329
"GDP per capita, PPP (current international $)",2020,United States,USA,64411.37318
"GDP per capita, PPP (current international $)",2020,Uruguay,URY,25777.74553
"GDP per capita, PPP (current international $)",2020,Uzbekistan,UZB,8451.725051
"GDP per capita, PPP (current international $)",2020,Vanuatu,VUT,3117.644253
"GDP per capita, PPP (current international $)",2020,"Venezuela, RB",VEN,..
"GDP per capita, PPP (current international $)",2020,Viet Nam,VNM,11609.31773
"GDP per capita, PPP (current international $)",2020,Virgin Islands (U.S.),VIR,41749.08004
"GDP per capita, PPP (current international $)",2020,West Bank and Gaza,PSE,5956.286201
"GDP per capita, PPP (current international $)",2020,"Yemen, Rep.",YEM,..
"GDP per capita, PPP (current international $)",2020,Zambia,ZMB,3157.300093
"GDP per capita, PPP (current international $)",2020,Zimbabwe,ZWE,3510.594036
,,,,
,,,,
,,,,
Data from database: World Development Indicators,,,,
Last Updated: 12/16/2024,,,,