Entity,Code,Year,"Overweight prevalence among children under 5 years of age (% weight-for-height >+2 SD), model-based estimates"
United Kingdom,GBR,2000,6.9
United Kingdom,GBR,2001,7
United Kingdom,GBR,2002,7.1
United Kingdom,GBR,2003,7.3
United Kingdom,GBR,2004,7.5
United Kingdom,GBR,2005,7.7
United Kingdom,GBR,2006,7.9
United Kingdom,GBR,2007,8.2
United Kingdom,GBR,2008,8.4
United Kingdom,GBR,2009,8.7
United Kingdom,GBR,2010,9.1
United Kingdom,GBR,2011,9.4
United Kingdom,GBR,2012,9.7
United Kingdom,GBR,2013,10
United Kingdom,GBR,2014,10.3
United Kingdom,GBR,2015,10.5
United Kingdom,GBR,2016,10.7
United Kingdom,GBR,2017,10.9
United Kingdom,GBR,2018,11.1
United Kingdom,GBR,2019,11.2
United Kingdom,GBR,2020,11.2
United Kingdom,GBR,2021,11.3
United Kingdom,GBR,2022,11.3
World,OWID_WRL,2000,5.3
World,OWID_WRL,2001,5.4
World,OWID_WRL,2002,5.5
World,OWID_WRL,2003,5.6
World,OWID_WRL,2004,5.6
World,OWID_WRL,2005,5.6
World,OWID_WRL,2006,5.6
World,OWID_WRL,2007,5.5
World,OWID_WRL,2008,5.5
World,OWID_WRL,2009,5.5
World,OWID_WRL,2010,5.5
World,OWID_WRL,2011,5.5
World,OWID_WRL,2012,5.5
World,OWID_WRL,2013,5.5
World,OWID_WRL,2014,5.5
World,OWID_WRL,2015,5.5
World,OWID_WRL,2016,5.5
World,OWID_WRL,2017,5.6
World,OWID_WRL,2018,5.6
World,OWID_WRL,2019,5.6
World,OWID_WRL,2020,5.6
World,OWID_WRL,2021,5.6
World,OWID_WRL,2022,5.6